,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"왼쪽 끝 좌표: (0, 0), 중간 좌표: (96, 24), 끝 좌표(192, 48)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"정렬 텍스트: LEFT, CENTER, RIGHT, L, C, R 각각 왼쪽정렬, 가운데정렬, 오른쪽정렬",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"좌표 0~192, 0~48 범위를 벗어나더라도 렌더링이 가능합니다. 왼쪽 번호를 비우면 텍스트 다 적혀있어도 추가 안되게 가능합니다. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a붙이면 입체(a생략), b붙이면 벽면, c붙이면 한자들어간 교수님, d는 오른쪽에 표시되는 표지판(을 형식적으로 의미함, 결국 좌표 적는 사용자에게 달림)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,부족하면 더 적어도 작동합니다,,,,,
,영어는 소문자만 가능,,,,,,일반적으로 호실을 적습니다,,,,,,일반적으로 한글 이름을 적습니다,,,,,,일반적으로 영문 이름을 적습니다,,,,,,일반적으로 한글 이름을 적습니다,,,,,,일반적으로 영문 이름을 적습니다,,,,,
,번호,전체배율,translatex,translatey,텍스쳐,좌표갯수,x1,y1,텍스트1,배율,색,정렬1,x2,y2,텍스트2,배율,색,정렬2,x3,y3,텍스트3,배율,색,정렬3,x4,y4,텍스트4,배율,색,정렬4,x5,y5,텍스트5,배율,색,정렬5
,08-218,0.5,0,0,default,3,184,30,08-218,1,#0000FF,RIGHT,10,10,전자기수치해석연구실,1.75,#FFFFFF,LEFT,10,29,Computational Electromagnetics Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-219,0.5,0,0,default,3,184,30,08-219,1,#0000FF,RIGHT,10,10,전력전자실험실,1.75,#FFFFFF,LEFT,10,29,Power Electronics Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,,0.5,0,0,default,3,184,30,,1,#0000FF,RIGHT,10,10,,1.75,#FFFFFF,LEFT,10,29,,0.75,#808080,LEFT,,,,,,,,,,,,
,08-223,0.5,0,0,default,3,184,30,08-223,1,#0000FF,RIGHT,10,10,스마트시스템 실습실,1.75,#FFFFFF,LEFT,10,29,Smart System Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-224,0.5,0,0,default,3,184,30,08-224,1,#0000FF,RIGHT,10,10,전기설계실험실,1.75,#FFFFFF,LEFT,10,29,Electric Design Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-225,0.5,0,0,default,3,184,30,08-225,1,#0000FF,RIGHT,10,10,분리막 연구실,1.75,#FFFFFF,LEFT,10,29,Membrane Research Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-226,0.5,0,0,default,3,184,30,08-226,1,#0000FF,RIGHT,10,10,산경 대학원 세미나실,1.75,#FFFFFF,LEFT,10,29,IME Graduate Seminar Room,0.75,#808080,LEFT,,,,,,,,,,,,
,,0.5,0,0,default,3,184,30,,1,#0000FF,RIGHT,10,10,,1.75,#FFFFFF,LEFT,10,29,,0.75,#808080,LEFT,,,,,,,,,,,,
,08-228,0.5,0,0,default,3,184,30,08-228,1,#0000FF,RIGHT,10,10,원자력안전연구실,1.75,#FFFFFF,LEFT,10,29,Nuclear Safety Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,,0.5,0,0,default,3,184,30,,1,#0000FF,RIGHT,10,10,,1.75,#FFFFFF,LEFT,10,29,,0.75,#808080,LEFT,,,,,,,,,,,,
,08-249,0.5,0,0,default,3,184,30,08-249,1,#0000FF,RIGHT,10,10,전력 및 에너지시스템 연구실,1.75,#FFFFFF,LEFT,10,29,Electric Power & Energy System Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-250,0.5,0,0,default,3,184,30,08-250,1,#0000FF,RIGHT,10,10,전기공해환경 환경실험실,1.75,#FFFFFF,LEFT,10,29,Electric Pollution Environmental Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,,0.5,0,0,default,3,184,30,,1,#0000FF,RIGHT,10,10,,1.75,#FFFFFF,LEFT,10,29,,0.75,#808080,LEFT,,,,,,,,,,,,
,08-269,0.5,0,0,default,3,184,30,08-269,1,#0000FF,RIGHT,10,10,신소재분석실험실,1.75,#FFFFFF,LEFT,10,29,Advanced Materials Analysis Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-270,0.5,0,0,default,3,184,30,08-270,1,#0000FF,RIGHT,10,10,신소재기기공작실,1.75,#FFFFFF,LEFT,10,29,Advanced Materials Machining Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,,0.5,0,0,default,3,184,30,,1,#0000FF,RIGHT,10,10,,1.75,#FFFFFF,LEFT,10,29,,0.75,#808080,LEFT,,,,,,,,,,,,
,,0.5,0,0,default,3,184,30,,1,#0000FF,RIGHT,10,10,,1.75,#FFFFFF,LEFT,10,29,,0.75,#808080,LEFT,,,,,,,,,,,,
,,0.5,0,0,default,3,184,30,,1,#0000FF,RIGHT,10,10,,1.75,#FFFFFF,LEFT,10,29,,0.75,#808080,LEFT,,,,,,,,,,,,
,,0.5,0,0,default,3,184,30,,1,#0000FF,RIGHT,10,10,,1.75,#FFFFFF,LEFT,10,29,,0.75,#808080,LEFT,,,,,,,,,,,,
,,0.5,0,0,default,3,184,30,,1,#0000FF,RIGHT,10,10,,1.75,#FFFFFF,LEFT,10,29,,0.75,#808080,LEFT,,,,,,,,,,,,
,,0.5,0,0,default,3,184,30,,1,#0000FF,RIGHT,10,10,,1.75,#FFFFFF,LEFT,10,29,,0.75,#808080,LEFT,,,,,,,,,,,,
,,0.5,0,0,default,3,184,30,,1,#0000FF,RIGHT,10,10,,1.75,#FFFFFF,LEFT,10,29,,0.75,#808080,LEFT,,,,,,,,,,,,
,,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,08-301,0.5,0,0,default,3,184,30,08-301,1,#0000FF,RIGHT,10,10,전략소재 및 재자원화 실험실,1.75,#FFFFFF,LEFT,10,29,Lab. of Strategy Materials and Recycle,0.75,#808080,LEFT,,,,,,,,,,,,
,08-302,0.5,0,0,default,3,184,30,08-302,1,#0000FF,RIGHT,10,10,박막전자재료실험실,1.75,#FFFFFF,LEFT,10,29,Thin film Electronic Materials Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-303,0.5,0,0,default,3,184,30,08-303,1,#0000FF,RIGHT,10,10,에너지소재실험실,1.75,#FFFFFF,LEFT,10,29,Energy Materials Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-304,0.5,0,0,default,3,184,30,08-304,1,#0000FF,RIGHT,10,10,정밀기자재실,1.75,#FFFFFF,LEFT,10,29,Precision Gauge Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-305,0.5,0,0,default,3,146,15,08-305,1,#0000FF,LEFT,138,10,신소재공학과사무실,1.75,#FFFFFF,RIGHT,138,29,Dept. of Materials Science and Engineering,0.6,#808080,RIGHT,,,,,,,,,,,,
,08-306,0.5,0,0,default,3,184,30,08-306,1,#0000FF,RIGHT,10,10,세미나실,1.75,#FFFFFF,LEFT,10,29,Seminar Room,0.75,#808080,LEFT,,,,,,,,,,,,
,08-307,0.5,0,0,default,3,184,30,08-307,1,#0000FF,RIGHT,10,10,후막적층재료실험실,1.75,#FFFFFF,LEFT,10,29,Thick film Materials Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-308,0.5,0,0,default,3,184,30,08-308,1,#0000FF,RIGHT,10,10,광전재료실험실,1.75,#FFFFFF,LEFT,10,29,Optoelectronic Materials Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-309,0.5,0,0,default,3,184,30,08-309,1,#0000FF,RIGHT,10,10,전략소재및재자원화연구실,1.75,#FFFFFF,LEFT,10,29,Lab. of Strategy Materials and Recycle,0.75,#808080,LEFT,,,,,,,,,,,,
,08-310d,0.5,0,0,default,5,17,2,08-310,0.85,#FFFFFF,LEFT,104,10,안전공학과 교수,0.35,#808080,LEFT,104,16,Dept of Safety Engineering Professor,0.35,#808080,LEFT,104,22,김태훈,1.5,#FFFFFF,LEFT,142,27,Taehoon Kim,0.75,#808080,LEFT
,08-310,0.5,0,0,default,5,175,2,08-310,0.85,#FFFFFF,RIGHT,12,10,안전공학과 교수,0.35,#808080,LEFT,12,16,Dept of Safety Engineering Professor,0.35,#808080,LEFT,12,22,김 태 훈,1.5,#FFFFFF,LEFT,64,27,Taehoon Kim,0.75,#808080,LEFT
,08-311,0.5,0,0,default,3,184,30,08-311,1,#0000FF,RIGHT,10,10,복합재료실험실,1.75,#FFFFFF,LEFT,10,29,Composite Materials Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-312,0.5,0,0,default,3,184,30,08-312,1,#0000FF,RIGHT,10,10,에너지소재연구실,1.75,#FFFFFF,LEFT,10,29,Energy Materials Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
,08-313,0.5,0,0,default,3,184,30,08-313,1,#0000FF,RIGHT,10,10,SDT연구실험실,1.75,#FFFFFF,LEFT,10,29,SDT Lab.,0.75,#808080,LEFT,,,,,,,,,,,,
